time,ACE
2024-01-24 06:20:15,-81.48
2024-01-24 06:20:30,13.75
2024-01-24 06:20:45,125.37
2024-01-24 06:21:00,135.41
2024-01-24 06:21:15,151.94
2024-01-24 06:21:30,106.19
2024-01-24 06:21:45,163.9
2024-01-24 06:22:00,44.26
2024-01-24 06:22:15,-59.05
2024-01-24 06:22:30,12.66
2024-01-24 06:22:45,99.79
2024-01-24 06:23:00,223.01
2024-01-24 06:23:15,229.85
2024-01-24 06:23:30,234.58
2024-01-24 06:23:45,197.64
2024-01-24 06:24:00,198.97
2024-01-24 06:24:15,111.2
2024-01-24 06:24:30,27.2
2024-01-24 06:24:45,-15.47
2024-01-24 06:25:00,32.34
2024-01-24 06:25:15,21.66
2024-01-24 06:25:30,55.97
2024-01-24 06:25:45,175.04
2024-01-24 06:26:00,58.05
2024-01-24 06:26:15,112.35
2024-01-24 06:26:30,100.22
2024-01-24 06:26:45,117.18
2024-01-24 06:27:00,139.52
2024-01-24 06:27:15,175.06
2024-01-24 06:27:30,279.32
2024-01-24 06:27:45,296.98
2024-01-24 06:28:00,327.09
2024-01-24 06:28:15,362.1
2024-01-24 06:28:30,305.21
2024-01-24 06:28:45,291.52
2024-01-24 06:29:00,263.7
2024-01-24 06:29:15,250.56
2024-01-24 06:29:30,167.06
2024-01-24 06:29:45,210.56
2024-01-24 06:30:00,231.57
2024-01-24 06:30:15,249.13
2024-01-24 06:30:30,218.55
2024-01-24 06:30:45,203.77
2024-01-24 06:31:00,134.15
2024-01-24 06:31:15,141.77
2024-01-24 06:31:30,188.24
2024-01-24 06:31:45,160.06
2024-01-24 06:32:00,237.94
2024-01-24 06:32:15,233.36
2024-01-24 06:32:30,155.33
2024-01-24 06:32:45,161.63
2024-01-24 06:33:00,80.52
2024-01-24 06:33:15,64.08
2024-01-24 06:33:30,91.02
2024-01-24 06:33:45,13.91
2024-01-24 06:34:00,80.61
2024-01-24 06:34:15,65.94
2024-01-24 06:34:30,28.17
2024-01-24 06:34:45,56.02
2024-01-24 06:35:00,45.72
2024-01-24 06:35:15,93.51
2024-01-24 06:35:30,115.58
2024-01-24 06:35:45,220.65
2024-01-24 06:36:00,266.46
2024-01-24 06:36:15,276.85
2024-01-24 06:36:30,246.66
2024-01-24 06:36:45,160.44
2024-01-24 06:37:00,122.92
2024-01-24 06:37:15,221.64
2024-01-24 06:37:30,318.96
2024-01-24 06:37:45,417.97
2024-01-24 06:38:00,432.95
2024-01-24 06:38:15,313.95
2024-01-24 06:38:30,329.69
2024-01-24 06:38:45,345.18
2024-01-24 06:39:00,470.36
2024-01-24 06:39:15,562.99
2024-01-24 06:39:30,611.54
2024-01-24 06:39:45,637.21
2024-01-24 06:40:00,595.53
2024-01-24 06:40:15,626.08
2024-01-24 06:40:30,563.75
2024-01-24 06:40:45,533.54
2024-01-24 06:41:00,432.09
2024-01-24 06:41:15,322.76
2024-01-24 06:41:30,334.92
2024-01-24 06:41:45,285.36
2024-01-24 06:42:00,299.02
2024-01-24 06:42:15,234.06
2024-01-24 06:42:30,302.18
2024-01-24 06:42:45,305.07
2024-01-24 06:43:00,333.29
2024-01-24 06:43:15,389.22
2024-01-24 06:43:30,352.5
2024-01-24 06:43:45,334.46
2024-01-24 06:44:00,321.68
2024-01-24 06:44:15,351.93
2024-01-24 06:44:30,294.81
2024-01-24 06:44:45,175.26
2024-01-24 06:45:00,220.04
2024-01-24 06:45:15,213.43
2024-01-24 06:45:30,286.46
2024-01-24 06:45:45,406.88
2024-01-24 06:46:00,334.72
2024-01-24 06:46:15,286.79
2024-01-24 06:46:30,288.74
2024-01-24 06:46:45,250.13
2024-01-24 06:47:00,260.24
2024-01-24 06:47:15,223.16
2024-01-24 06:47:30,238.56
2024-01-24 06:47:45,259.85
2024-01-24 06:48:00,241.85
2024-01-24 06:48:15,256.67
2024-01-24 06:48:30,304.01
2024-01-24 06:48:45,264.2
2024-01-24 06:49:00,230.1
2024-01-24 06:49:15,112.94
2024-01-24 06:49:30,67.78
