date,value
2013-06-07 08:00:00,16.89
2013-06-07 05:00:00,17.02
2013-06-10 08:00:00,17.09
2013-06-10 05:00:00,17.26
2013-06-11 08:00:00,16.94
2013-06-11 05:00:00,16.92
2013-06-12 08:00:00,16.97
2013-06-12 05:00:00,16.88
2013-06-13 08:00:00,16.85
2013-06-13 05:00:00,17.01
2013-06-14 08:00:00,16.96
2013-06-14 05:00:00,16.93
2013-06-17 08:00:00,17.02
2013-06-17 05:00:00,16.95
2013-06-18 08:00:00,16.94
2013-06-18 05:00:00,17.22
2013-06-19 08:00:00,17.16
2013-06-19 05:00:00,17.06
2013-06-20 08:00:00,16.73
2013-06-20 05:00:00,16.73
2013-06-21 08:00:00,16.8
2013-06-21 05:00:00,16.34
2013-06-24 08:00:00,16.06
2013-06-24 05:00:00,16.13
2013-06-25 08:00:00,16.22
2013-06-25 05:00:00,16.46
2013-06-26 08:00:00,16.5
2013-06-26 05:00:00,16.17
2013-06-27 08:00:00,16.29
2013-06-27 05:00:00,16.31
2013-06-28 08:00:00,16.24
2013-06-28 05:00:00,16.42
2013-07-01 08:00:00,16.5
2013-07-01 05:00:00,16.8
2013-07-02 08:00:00,16.78
2013-07-02 05:00:00,16.43
2013-07-03 08:00:00,16.06
2013-07-03 05:00:00,16.75
2013-07-05 08:00:00,16.93
2013-07-05 05:00:00,16.84
2013-07-08 08:00:00,16.94
2013-07-08 05:00:00,16.94
2013-07-09 08:00:00,17.01
2013-07-09 05:00:00,17.36
2013-07-10 08:00:00,17.32
2013-07-10 05:00:00,17.17
2013-07-11 08:00:00,17.4
2013-07-11 05:00:00,17.37
2013-07-12 08:00:00,17.36
2013-07-12 05:00:00,17.56
2013-07-15 08:00:00,17.66
2013-07-15 05:00:00,17.76
2013-07-16 08:00:00,17.86
2013-07-16 05:00:00,17.95
2013-07-17 08:00:00,17.96
2013-07-17 05:00:00,18.45
2013-07-18 08:00:00,18.7
2013-07-18 05:00:00,18.42
2013-07-19 08:00:00,18.26
2013-07-19 05:00:00,18.23
2013-07-22 08:00:00,18.25
2013-07-22 05:00:00,18.15
2013-07-23 08:00:00,18.33
2013-07-23 05:00:00,18.05
2013-07-24 08:00:00,18.43
2013-07-24 05:00:00,18.5
2013-07-25 08:00:00,18.49
2013-07-25 05:00:00,18.83
2013-07-26 08:00:00,18.74
2013-07-26 05:00:00,19.09
2013-07-29 08:00:00,19.07
2013-07-29 05:00:00,19.23
2013-07-30 08:00:00,19.33
