Time,CTS
2024-02-09 11:15:00,11.86
2024-02-09 11:30:00,9.549999999999999
2024-02-09 11:45:00,7.880000000000001
2024-02-09 12:00:00,8.299999999999999
2024-02-09 12:15:00,8.23
2024-02-09 12:30:00,7.400000000000002
2024-02-09 12:45:00,7.700000000000001
2024-02-09 13:00:00,7.359999999999999
2024-02-09 13:15:00,6.65
2024-02-09 13:30:00,6.57
2024-02-09 13:45:00,17.36
2024-02-09 14:00:00,16.96
2024-02-09 14:15:00,17.729999999999997
2024-02-09 14:30:00,13.42
2024-02-09 14:45:00,18.66
2024-02-09 15:00:00,17.48
2024-02-09 15:15:00,20.339999999999996
2024-02-09 15:30:00,12.66
2024-02-09 15:45:00,12.27
2024-02-09 16:00:00,157.02
2024-02-09 16:15:00,96.55
2024-02-09 16:30:00,26.360000000000003
2024-02-09 16:45:00,28.990000000000002
2024-02-09 17:00:00,39.33
2024-02-09 17:15:00,43.83
2024-02-09 17:30:00,22.939999999999998
2024-02-09 17:45:00,11.0
2024-02-09 18:00:00,10.879999999999995
2024-02-09 18:15:00,-18.599999999999998
2024-02-09 18:30:00,2.1899999999999977
2024-02-09 18:45:00,-3.150000000000002
2024-02-09 19:00:00,-7.400000000000002
2024-02-09 19:15:00,-3.75
2024-02-09 19:30:00,204.35000000000002
2024-02-09 19:45:00,0.23999999999999844
2024-02-09 20:00:00,9.590000000000002
2024-02-09 20:15:00,6.380000000000003
2024-02-09 20:30:00,19.130000000000003
2024-02-09 20:45:00,2.8900000000000006
2024-02-09 21:00:00,1.870000000000001
2024-02-09 21:15:00,4.870000000000001
2024-02-09 21:30:00,2.75
2024-02-09 21:45:00,0.08999999999999986
2024-02-09 22:00:00,2.379999999999999
2024-02-09 22:15:00,1.75
2024-02-09 22:30:00,-5.989999999999998
2024-02-09 22:45:00,-7.539999999999999
2024-02-09 23:00:00,1.3999999999999986
2024-02-09 23:15:00,2.210000000000001
2024-02-09 23:30:00,10.38
2024-02-09 23:45:00,12.379999999999999
2024-02-10 00:00:00,8.170000000000002
2024-02-10 00:15:00,2.3000000000000007
2024-02-10 00:30:00,5.080000000000002
2024-02-10 00:45:00,3.509999999999998
2024-02-10 01:00:00,5.67
2024-02-10 01:15:00,4.309999999999999
2024-02-10 01:30:00,4.48
2024-02-10 01:45:00,5.170000000000002
2024-02-10 02:00:00,5.419999999999998
2024-02-10 02:15:00,4.800000000000001
2024-02-10 02:30:00,5.270000000000001
2024-02-10 02:45:00,4.25
2024-02-10 03:00:00,4.280000000000001
2024-02-10 03:15:00,4.100000000000001
2024-02-10 03:30:00,2.5999999999999996
2024-02-10 03:45:00,3.9399999999999995
2024-02-10 04:00:00,4.880000000000001
2024-02-10 04:15:00,4.720000000000002
2024-02-10 04:30:00,5.169999999999998
2024-02-10 04:45:00,3.790000000000001
2024-02-10 05:00:00,0.9100000000000001
2024-02-10 05:15:00,-8.259999999999998
2024-02-10 05:30:00,-1.9800000000000004
2024-02-10 05:45:00,-7.759999999999998
2024-02-10 06:00:00,-11.850000000000001
2024-02-10 06:15:00,-37.900000000000006
2024-02-10 06:30:00,-13.469999999999999
2024-02-10 06:45:00,-10.779999999999998
2024-02-10 07:00:00,-30.880000000000003
2024-02-10 07:15:00,-11.300000000000004
2024-02-10 07:30:00,246.58999999999997
2024-02-10 07:45:00,222.9
2024-02-10 08:00:00,222.48
2024-02-10 08:15:00,211.5
2024-02-10 08:30:00,133.29999999999998
2024-02-10 08:45:00,131.19
2024-02-10 09:00:00,31.56
2024-02-10 09:15:00,35.81
2024-02-10 09:30:00,3.5799999999999983
2024-02-10 09:45:00,1.7600000000000016
2024-02-10 10:00:00,6.120000000000001
2024-02-10 10:15:00,-0.9100000000000001
2024-02-10 10:30:00,4.409999999999998
2024-02-10 10:45:00,3.030000000000001
2024-02-10 11:00:00,0.17999999999999972
2024-02-10 11:15:00,3.900000000000002
2024-02-10 11:30:00,4.629999999999999
2024-02-10 11:45:00,2.360000000000003
2024-02-10 12:00:00,2.419999999999998
