Local Time,LMP
2023-02-01 13:40:00,42.91
2023-02-01 13:45:00,42.91
2023-02-01 13:50:00,70.33
2023-02-01 13:55:00,70.37
2023-02-01 14:00:00,55.13
2023-02-01 14:05:00,0.0
2023-02-01 14:10:00,40.93
2023-02-01 14:15:00,40.93
2023-02-01 14:20:00,15.84
2023-02-01 14:25:00,15.84
2023-02-01 14:30:00,42.21
2023-02-01 14:35:00,43.22
2023-02-01 14:40:00,59.15
2023-02-01 14:45:00,43.47
2023-02-01 14:50:00,43.38
2023-02-01 14:55:00,56.5
2023-02-01 15:00:00,56.5
2023-02-01 15:05:00,41.98
2023-02-01 15:10:00,42.64
2023-02-01 15:15:00,42.64
2023-02-01 15:20:00,59.44
2023-02-01 15:25:00,63.33
2023-02-01 15:30:00,63.33
2023-02-01 15:35:00,71.9
2023-02-01 15:40:00,78.78
2023-02-01 15:45:00,78.78
2023-02-01 15:50:00,82.4
2023-02-01 15:55:00,86.41
2023-02-01 16:00:00,86.41
2023-02-01 16:05:00,84.92
2023-02-01 16:10:00,84.92
2023-02-01 16:15:00,77.64
2023-02-01 16:20:00,82.88
2023-02-01 16:25:00,83.3
2023-02-01 16:30:00,83.3
2023-02-01 16:35:00,89.81
2023-02-01 16:40:00,89.81
2023-02-01 16:45:00,92.54
2023-02-01 16:50:00,93.17
2023-02-01 16:55:00,93.22
2023-02-01 17:00:00,89.61
2023-02-01 17:05:00,89.61
2023-02-01 17:10:00,93.21
2023-02-01 17:15:00,93.21
2023-02-01 17:20:00,95.7
2023-02-01 17:25:00,97.35
2023-02-01 17:30:00,97.35
2023-02-01 17:35:00,103.18
2023-02-01 17:40:00,103.03
2023-02-01 17:45:00,103.03
2023-02-01 17:50:00,106.33
2023-02-01 17:55:00,106.32
2023-02-01 18:00:00,102.88
2023-02-01 18:05:00,97.77
2023-02-01 18:10:00,97.75
2023-02-01 18:15:00,97.75
2023-02-01 18:20:00,92.49
2023-02-01 18:25:00,92.49
2023-02-01 18:30:00,92.47
2023-02-01 18:35:00,93.13
2023-02-01 18:40:00,93.13
2023-02-01 18:45:00,95.83
2023-02-01 18:50:00,95.83
2023-02-01 18:55:00,92.75
2023-02-01 19:00:00,92.75
2023-02-01 19:05:00,87.18
2023-02-01 19:10:00,87.18
2023-02-01 19:15:00,83.83
2023-02-01 19:20:00,83.61
2023-02-01 19:25:00,83.61
2023-02-01 19:30:00,79.0
2023-02-01 19:35:00,79.0
2023-02-01 19:40:00,66.42
2023-02-01 19:45:00,66.42
2023-02-01 19:50:00,65.23
2023-02-01 19:55:00,65.23
2023-02-01 20:00:00,97.8
2023-02-01 20:05:00,200.99
2023-02-01 20:10:00,200.99
2023-02-01 20:15:00,97.81
2023-02-01 20:20:00,97.23
2023-02-01 20:25:00,88.17
2023-02-01 20:30:00,88.17
2023-02-01 20:35:00,83.38
2023-02-01 20:40:00,83.38
2023-02-01 20:45:00,78.52
2023-02-01 20:50:00,83.21
2023-02-01 20:55:00,75.45
2023-02-01 21:00:00,75.45
2023-02-01 21:05:00,75.45
2023-02-01 21:10:00,65.51
2023-02-01 21:15:00,65.51
2023-02-01 21:20:00,64.95
2023-02-01 21:25:00,65.78
2023-02-01 21:30:00,76.37
2023-02-01 21:35:00,65.77
2023-02-01 21:40:00,65.77
2023-02-01 21:45:00,79.2
2023-02-01 21:50:00,79.2
2023-02-01 21:55:00,67.23
2023-02-01 22:00:00,67.23
2023-02-01 22:05:00,108.23
2023-02-01 22:10:00,89.07
2023-02-01 22:15:00,108.22
2023-02-01 22:20:00,108.15
2023-02-01 22:25:00,108.15
2023-02-01 22:30:00,110.77
2023-02-01 22:35:00,110.77
2023-02-01 22:40:00,115.13
2023-02-01 22:45:00,65.5
2023-02-01 22:50:00,65.5
2023-02-01 22:55:00,58.03
2023-02-01 23:00:00,58.03
2023-02-01 23:05:00,61.86
2023-02-01 23:10:00,61.86
2023-02-01 23:15:00,46.78
2023-02-01 23:20:00,0.0
2023-02-01 23:25:00,0.0
2023-02-01 23:30:00,0.0
2023-02-01 23:35:00,0.0
2023-02-01 23:40:00,0.02
2023-02-01 23:45:00,0.02
2023-02-01 23:50:00,27.45
2023-02-01 23:55:00,0.03
2023-02-02 00:00:00,0.03
2023-02-02 00:05:00,0.01
2023-02-02 00:10:00,61.37
2023-02-02 00:15:00,127.85
2023-02-02 00:20:00,61.24
2023-02-02 00:25:00,61.24
2023-02-02 00:30:00,57.42
2023-02-02 00:35:00,57.42
2023-02-02 00:40:00,58.29
2023-02-02 00:45:00,58.29
2023-02-02 00:50:00,58.69
2023-02-02 00:55:00,61.54
2023-02-02 01:00:00,61.54
2023-02-02 01:05:00,57.33
2023-02-02 01:10:00,57.33
2023-02-02 01:15:00,57.29
2023-02-02 01:20:00,52.86
2023-02-02 01:25:00,53.21
2023-02-02 01:30:00,53.21
2023-02-02 01:35:00,57.34
2023-02-02 01:40:00,57.34
2023-02-02 01:45:00,57.34
2023-02-02 01:50:00,57.34
