Time Stamp,spread,Load
2023-07-01 08:45:00,4.430000000000003,2282.3699
2023-07-01 08:50:00,4.520000000000003,2302.0386
2023-07-01 08:55:00,2.450000000000003,2303.4116
2023-07-01 09:00:00,11.32,2328.7969
2023-07-01 09:05:00,11.39,2345.4902
2023-07-01 09:10:00,10.95,2368.4133
2023-07-01 09:15:00,9.209999999999997,2396.0125
2023-07-01 09:20:00,9.219999999999999,2383.249
2023-07-01 09:25:00,8.899999999999999,2413.7795
2023-07-01 09:30:00,8.689999999999998,2443.0835
2023-07-01 09:35:00,8.689999999999998,2480.081
2023-07-01 09:40:00,5.48,2468.7393
2023-07-01 09:45:00,5.399999999999999,2488.7417
2023-07-01 09:50:00,3.8900000000000006,2507.5518
2023-07-01 09:55:00,4.029999999999998,2512.1157
2023-07-01 10:00:00,9.200000000000003,2525.4512
2023-07-01 10:05:00,9.25,2531.7075
2023-07-01 10:10:00,3.960000000000001,2559.1436
2023-07-01 10:15:00,4.0,2591.1396
2023-07-01 10:20:00,8.130000000000003,2599.27
2023-07-01 10:25:00,4.260000000000002,2620.1663
2023-07-01 10:30:00,0.6499999999999986,2632.7104
2023-07-01 10:35:00,0.6700000000000017,2642.3677
2023-07-01 10:40:00,-28.71,2673.6008
2023-07-01 10:45:00,-74.91999999999999,2712.324
2023-07-01 10:50:00,3.5900000000000034,2744.4585
2023-07-01 10:55:00,-7.1299999999999955,2774.04
2023-07-01 11:00:00,3.9100000000000037,2776.977
2023-07-01 11:05:00,3.0600000000000023,2771.8281
2023-07-01 11:10:00,3.5600000000000023,2786.9963
2023-07-01 11:15:00,4.100000000000001,2780.3428
2023-07-01 11:20:00,5.170000000000002,2812.608
2023-07-01 11:25:00,5.75,2804.3318
2023-07-01 11:30:00,5.170000000000002,2847.2617
2023-07-01 11:35:00,5.149999999999999,2847.3643
2023-07-01 11:40:00,5.120000000000001,2861.4648
2023-07-01 11:45:00,5.109999999999999,2861.0283
2023-07-01 11:50:00,5.140000000000001,2878.3433
2023-07-01 11:55:00,4.890000000000001,2905.745
2023-07-01 12:00:00,8.040000000000003,2923.2634
2023-07-01 12:05:00,0.7899999999999991,2938.7107
2023-07-01 12:10:00,6.329999999999998,2949.7734
2023-07-01 12:15:00,6.329999999999998,2943.9258
2023-07-01 12:20:00,6.539999999999999,2964.6362
2023-07-01 12:25:00,5.280000000000001,2964.033
2023-07-01 12:30:00,5.710000000000001,2981.6318
2023-07-01 12:35:00,5.710000000000001,3005.163
2023-07-01 12:40:00,5.25,3008.5474
2023-07-01 12:45:00,6.530000000000001,3018.4204
2023-07-01 12:50:00,6.810000000000002,3035.1895
2023-07-01 12:55:00,6.5,3051.5532
2023-07-01 13:00:00,10.75,3077.5957
2023-07-01 13:05:00,10.689999999999998,3074.665
2023-07-01 13:10:00,9.130000000000003,3067.901
2023-07-01 13:15:00,10.600000000000001,3084.3838
2023-07-01 13:20:00,9.130000000000003,3089.0498
2023-07-01 13:25:00,10.280000000000001,3102.8984
2023-07-01 13:30:00,10.310000000000002,3102.5447
2023-07-01 13:35:00,10.280000000000001,3101.4053
2023-07-01 13:40:00,9.090000000000003,3134.079
2023-07-01 13:45:00,8.969999999999999,3122.0068
2023-07-01 13:50:00,4.520000000000003,3142.6475
2023-07-01 13:55:00,4.560000000000002,3134.4707
2023-07-01 14:00:00,10.25,3167.304
2023-07-01 14:05:00,11.96,3174.2017
2023-07-01 14:10:00,10.479999999999997,3169.0444
2023-07-01 14:15:00,12.049999999999997,3171.6133
2023-07-01 14:20:00,12.079999999999998,3185.2668
2023-07-01 14:25:00,11.949999999999996,3205.232
2023-07-01 14:30:00,10.129999999999995,3202.0518
2023-07-01 14:35:00,11.5,3213.086
2023-07-01 14:40:00,7.280000000000001,3227.7478
2023-07-01 14:45:00,10.149999999999999,3242.273
2023-07-01 14:50:00,11.689999999999998,3241.3638
2023-07-01 14:55:00,10.129999999999995,3255.5085
2023-07-01 15:00:00,19.51,3268.791
